"File","Type","Constant","OriginalValue","Value1","Value2","Value3","Value4","Value5","Value6","Description"
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_HEAVY_ENEMY_COUNT","12","6","9","11","13","15","18","Масса врагов, при которой включается тяжелая взрывная доктрина."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_HIDDEN_ENEMY_COUNT","10","8","9","11","12","13","15","Число известных скрытых врагов для heavy landing/initial pressure."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_HIGH_HP_EXPLOSIVE_TARGET","80","40","60","72","88","100","120","Health врага, с которого стоит беречь/искать сильную взрывчатку."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_SLOW_DANGER_EXPLOSIVE_MIN_HEALTH","40","28","34","35","45","46","52","Нижняя граница health для медленного, но опасного взрывного таргета."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_SLOW_DANGER_MAX_TU","52","36","44","47","57","60","68","Верхняя граница TU для медленного взрывного таргета."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_OVERWHELMING_TARGET_HEALTH","100","70","85","95","105","115","130","Health врага для признака overwhelming heavy landing."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_CLEAN_SHOT_BASE_SCORE","220","110","165","198","242","275","330","Базовая оценка позиции clean-shot move с линией огня."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_CLEAN_SHOT_MIN_SCORE","75","38","56","68","82","94","112","Минимальная оценка обычного clean-shot move."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_DEFENSIVE_CLEAN_SHOT_MIN_SCORE","110","55","82","99","121","138","165","Минимальная оценка clean-shot move в защитных режимах."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_CLEAN_SHOT_EXPOSURE_SPIKE","75","38","56","68","82","94","112","Максимально допустимый прирост exposure при clean-shot move."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_CLEAN_SHOT_HIGH_EXPOSURE","110","55","82","99","121","138","165","Абсолютный high exposure cutoff при clean-shot move."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_CLEAN_SHOT_RESERVE_TU","14","7","10","13","15","18","21","Минимальный TU-резерв после движения к позиции выстрела."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_CLEAN_SHOT_VISIBLE_RETURN_RESERVE","14","7","10","13","15","18","21","Дополнительный резерв, когда цель видима/позиция под контактом."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_CLEAN_SHOT_HIDDEN_RETURN_RESERVE","8","6","7","9","10","11","13","Минимальный резерв для скрытого контакта или melee fallback."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_CLEAN_SHOT_CAUTIOUS_HUNT_DISTANCE","18","9","14","17","19","22","27","Дистанция, после которой hunt-last-enemy становится осторожнее."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_AMBUSH_BASE_SYSTEMATIC_SUCCESS","100","50","75","90","110","125","150","Базовый score node-засады."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_AMBUSH_COVER_BONUS","25","12","19","22","28","31","38","Бонус node-засады за окно/укрытие."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_AMBUSH_FAST_PASS_THRESHOLD","80","40","60","72","88","100","120","Score node-засады, при котором поиск можно завершить рано."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ESCAPE_EXPOSURE_PENALTY","10","5","8","9","11","12","15","Штраф/бонус escape за каждого дополнительного/убранного spotter."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ESCAPE_FIRE_PENALTY","40","20","30","36","44","50","60","Штраф escape за тайл с огнем."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ESCAPE_BASE_SYSTEMATIC_SUCCESS","100","50","75","90","110","125","150","Базовый score систематического поиска escape-позиции."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ESCAPE_BASE_DESPERATE_SUCCESS","110","55","82","99","121","138","165","Базовый score desperate escape-поиска."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ESCAPE_FAST_PASS_THRESHOLD","100","50","75","90","110","125","150","Score escape-позиции, при котором поиск можно завершить рано."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_FIREPOINT_BASE_SYSTEMATIC_SUCCESS","100","50","75","90","110","125","150","Базовый score firepoint-позиции."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_FIREPOINT_FAST_PASS_THRESHOLD","125","62","94","112","138","156","188","Score firepoint-позиции, при котором поиск можно завершить рано."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_FALLBACK_URGENT_EXPOSURE","140","70","105","126","154","175","210","Exposure, с которого fallback cover move расширяет радиус поиска."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_FALLBACK_EMERGENCY_SCORE","28","14","21","25","31","35","42","minScore, ниже которого fallback считается emergency move."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_FALLBACK_MAX_SAFE_MOVE","10","5","8","9","11","12","15","Максимальная дальность fallback при срочном разрыве линии огня."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_FALLBACK_MAX_NORMAL_MOVE","4","2","3","5","6","1","7","Максимальная дальность обычного fallback."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_FALLBACK_MAX_EMERGENCY_MOVE","6","3","4","5","7","8","9","Максимальная дальность emergency fallback."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_STALK_BROKEN_ROOM_TILE_LIMIT","90","45","68","89","91","112","135","Размер комнаты, после которого stalk ambush считает ее разомкнутой/сломанной."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_STALK_RISKY_ROOM_TILE_LIMIT","16","8","12","15","17","20","24","Размер малой комнаты, выше которого entry считается рискованным."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_STALK_HALL_ROOM_SIZE_BONUS_LIMIT","60","30","45","59","61","75","90","Размер контакта, добавляющий room pressure в stalk ambush."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_STALK_RISKY_MIN_SCORE","115","58","86","104","127","144","172","Минимальный score stalk ambush около рискованной комнаты."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_STALK_NORMAL_MIN_SCORE","155","78","116","140","170","194","232","Минимальный score stalk ambush вне рискованной комнаты."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_GRENADE_TEAM_MIN_SCORE_DEFAULT","160","80","120","144","176","200","240","Базовый minScore team-spotted explosive."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_GRENADE_TEAM_MIN_SCORE_CLUSTER","120","60","90","108","132","150","180","MinScore team-spotted explosive по кластеру врагов."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_GRENADE_TEAM_MIN_SCORE_HIGH","130","65","98","117","143","162","195","MinScore team-spotted explosive по очень ценной одиночной цели."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_GRENADE_TEAM_MIN_SCORE_MEDIUM","145","72","109","130","160","181","218","MinScore team-spotted explosive по средней ценной цели."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_GRENADE_HIGH_HEALTH","80","56","68","75","85","92","104","Health, с которого цель считается высокоценной для гранаты."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_GRENADE_HIGH_VALUE_WEAPON_DANGER","105","74","89","100","110","121","136","Опасность оружия врага для high-value grenade target."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_GRENADE_SCATTER_PENALTY","180","90","135","162","198","225","270","Штраф grenade score за риск scatter по союзникам."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_GRENADE_EVACUATABLE_ALLY_PENALTY","25","12","19","22","28","31","38","Штраф за союзника в blast radius, который теоретически может уйти."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_GRENADE_RISKY_EVACUATION_PENALTY","160","80","120","144","176","200","240","Дополнительный штраф за рискованную эвакуацию союзника из blast."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_WEAPON_DANGER_RADIUS_BONUS","12","6","9","11","13","15","18","Вклад blast radius в danger score оружия."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_THROW_DISTANCE_BIAS","8","4","6","7","9","10","12","Смещение старой формулы дальности броска перед переводом voxel distance в tile distance."
"src\Battlescape\PlayerFactionAI.cpp","double","PLAYER_AI_THROW_DISTANCE_TILE_SCALE","16.0","8","12","15","17","20","24","Перевод throw-distance из voxel-like единиц в клетки."
"src\Battlescape\PlayerFactionAI.cpp","double","PLAYER_AI_THROW_UNDERWATER_FACTOR_BASE","100.0","80","90","95","105","110","120","База процентного underwater throw factor."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_THROW_TARGET_VOXEL_XY","8","4","6","7","9","10","12","Центр tile по X/Y для проверки траектории броска."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_THROW_TARGET_VOXEL_Z_BASE","2","1","3","0","4","5","6","Базовая высота target voxel над terrain level."
"src\Battlescape\PlayerFactionAI.cpp","double","PLAYER_AI_THROW_MIN_CURVATURE","0.48","0.336","0.408","0","5.48","0.552","0.624","Минимальная кривизна параболы броска."
"src\Battlescape\PlayerFactionAI.cpp","double","PLAYER_AI_THROW_CURVATURE_STRENGTH_FACTOR","1.73","1.211","1.4705","0","6.73","1.9895","2.249","Вес strength/weight в стартовой кривизне броска."
"src\Battlescape\PlayerFactionAI.cpp","double","PLAYER_AI_THROW_KNEEL_CURVATURE_BONUS","0.1","0.07","0.085","0","5.1","0.115","0.13","Добавка к кривизне броска для kneeling unit."
"src\Battlescape\PlayerFactionAI.cpp","double","PLAYER_AI_THROW_MAX_CURVATURE","5.0","3.5","4.25","0","10","5.75","6.5","Верхняя граница перебора кривизны траектории."
"src\Battlescape\PlayerFactionAI.cpp","double","PLAYER_AI_THROW_CURVATURE_STEP","0.5","0.25","0.375","0","1.5","0.625","0.75","Шаг перебора кривизны траектории."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_PICKUP_TU_COST","4","2","3","5","6","1","7","Hardcoded TU за поднятие предмета перед использованием/броском."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_EXPLOSIVE_POWER_SCORE","2","1","0","7","3","4","5","Вес power в выборе лучшей взрывчатки."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_EXPLOSIVE_RADIUS_SCORE","25","12","19","24","26","31","38","Вес radius в выборе лучшей взрывчатки."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_THROWER_THROWING_SCORE","4","2","3","5","6","1","7","Вес throwing skill при ранжировании носителей взрывчатки."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_THROWER_TU_SCORE","2","1","0","7","3","4","5","Вес TU при ранжировании носителей взрывчатки."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_THROWER_RADIUS_SCORE","20","10","15","19","21","25","30","Вес blast radius при ранжировании носителей взрывчатки."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_PENDING_GRENADE_MEMORY_TURNS","4","2","3","5","6","1","7","Сколько ходов pending grenade danger считается актуальным."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_PENDING_MINE_MEMORY_TURNS","3","2","4","1","5","0","6","Сколько ходов proximity mine plan/staging считается актуальным."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_PROXIMITY_DEFAULT_TARGET_SPACING","7","4","5","6","8","9","10","Дистанция разделения proximity mine target по умолчанию."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_PROXIMITY_CONTACT_MEMORY_DISTANCE","8","4","6","7","9","10","12","Максимальная дистанция совпадения contact в памяти proximity mine."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_PROXIMITY_TARGET_MEMORY_DISTANCE","7","4","5","6","8","9","10","Максимальная дистанция совпадения target в памяти proximity mine."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MOVEMENT_OSCILLATION_DECAY","1","0","2","3","4","5","6","На сколько снижается oscillation при нормальном движении/новом ходу."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MOVEMENT_OSCILLATION_GAIN","2","1","3","0","4","5","6","На сколько растет oscillation при возврате между двумя позициями."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_INITIAL_CLOSEST_DISTANCE","100","50","75","99","101","125","150","Начальный closest distance до поиска ближайшей цели."
"src\Battlescape\PlayerFactionAI.cpp","float","PLAYER_AI_LEEROY_RUN_STAMINA_FRACTION","0.4f","0.2","0.3","0.35","0.45","0.5","0.6","Доля stamina, выше которой mindless melee unit может бежать."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEDIKIT_LOW_ENERGY_PERCENT","40","20","30","35","45","50","60","Energy percent, ниже которого AI хочет stimulant."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEDIKIT_HEAL_BASE_CHANCE","120","60","90","108","132","150","180","Базовый шанс heal при нулевом effective health."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEDIKIT_HEAL_HEALTH_SCALE","4","3","0","9","5","2","6","Снижение heal chance за процент effective health."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEDIKIT_RANDOM_HEAL_CHANCE","5","2","4","6","8","3","7","Минимальный случайный heal wish при не срочной ране."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEDIKIT_STUN_BASE_CHANCE","140","98","119","135","145","161","182","Базовый шанс stimulant против stun при нулевом health percent."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEDIKIT_STUN_HEALTH_SCALE","7","5","6","2","12","8","9","Снижение stun stimulant chance за процент health."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEDIKIT_ENERGY_BASE_CHANCE","120","60","90","108","132","150","180","Базовый шанс stimulant для энергии при нулевой energy."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_MEDIKIT_ENERGY_SCALE","3","2","4","1","5","0","6","Снижение energy stimulant chance за процент energy."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_REACTION_FIRING_TOLERANCE","8","6","7","3","13","9","10","Насколько reactions могут отставать/обгонять firing для reaction guard."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_SCOUT_TU_SCORE","2","1","0","7","3","4","5","Вес TU в ранжировании scout-кандидатов."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_SCOUT_HEALTH_SCORE","80","56","68","75","85","92","104","Вес текущего здоровья в scout score."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_SCOUT_SCORE_MARGIN","8","4","6","7","9","10","12","Преимущество другого бойца, чтобы считать его лучшим scout."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_SCOUT_BETTER_LIMIT","2","1","3","0","4","5","6","Сколько лучших scout-кандидатов допускается перед отказом от scout роли."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_INITIAL_ESCAPE","80","40","60","70","90","100","120","Множитель escape odds для initial deploy."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_INITIAL_AMBUSH","230","190","210","220","240","250","270","Множитель ambush odds для initial deploy."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_INITIAL_COMBAT","65","25","45","55","75","85","105","Множитель combat odds для initial deploy."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_INITIAL_PATROL","18","0","8","28","38","58","17","Множитель patrol odds для initial deploy."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_INITIAL_FIRE_SUPPORT_AMBUSH","125","85","105","115","135","145","165","Доп. ambush множитель marksman/heavy в initial deploy."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_INITIAL_ASSAULT_COMBAT","110","70","90","100","120","130","150","Доп. combat множитель assault в initial deploy."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_DEFEND_ESCAPE","100","60","80","90","110","120","140","Множитель escape odds для defend line."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_DEFEND_AMBUSH","180","140","160","170","190","200","220","Множитель ambush odds для defend line."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_DEFEND_COMBAT","95","55","75","85","105","115","135","Множитель combat odds для defend line."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_DEFEND_PATROL","45","5","25","35","55","65","85","Множитель patrol odds для defend line."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_DEFEND_FIRE_SUPPORT_AMBUSH","125","85","105","115","135","145","165","Доп. ambush множитель marksman/heavy в defend line."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_DEFEND_ASSAULT_COMBAT","115","75","95","105","125","135","155","Доп. combat множитель assault в defend line."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SIEGE_ESCAPE","100","60","80","90","110","120","140","Множитель escape odds для siege room."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SIEGE_AMBUSH","210","170","190","200","220","230","250","Множитель ambush odds для siege room."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SIEGE_COMBAT","90","50","70","80","100","110","130","Множитель combat odds для siege room."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SIEGE_PATROL","30","0","10","20","40","50","70","Множитель patrol odds для siege room."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SIEGE_ENTRY_AMBUSH","125","85","105","115","135","145","165","Доп. ambush множитель assault/melee в siege room."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SIEGE_MARKSMAN_COMBAT","80","40","60","70","90","100","120","Доп. combat множитель marksman в siege room."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HOLD_ESCAPE","95","55","75","85","105","115","135","Множитель escape odds для hold reaction."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HOLD_AMBUSH","220","180","200","210","230","240","260","Множитель ambush odds для hold reaction."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HOLD_COMBAT","70","30","50","60","80","90","110","Множитель combat odds для hold reaction."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HOLD_PATROL","20","0","10","30","40","60","19","Множитель patrol odds для hold reaction."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HOLD_SUPPORT_AMBUSH","120","80","100","110","130","140","160","Доп. ambush множитель support/marksman в hold reaction."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_ASSAULT_ESCAPE","70","30","50","60","80","90","110","Множитель escape odds для assault."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_ASSAULT_AMBUSH","75","35","55","65","85","95","115","Множитель ambush odds для assault."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_ASSAULT_COMBAT","160","120","140","150","170","180","200","Множитель combat odds для assault."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_ASSAULT_PATROL","65","25","45","55","75","85","105","Множитель patrol odds для assault."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_ASSAULT_FRONT_COMBAT","125","85","105","115","135","145","165","Доп. combat множитель assault/melee в assault."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_ASSAULT_FIRE_SUPPORT_COMBAT","110","70","90","100","120","130","150","Доп. combat множитель marksman/heavy в assault."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SURVIVE_CONTACT_ESCAPE","230","190","210","220","240","250","270","Escape odds survive при видимом/spotting контакте."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SURVIVE_SAFE_ESCAPE","95","55","75","85","105","115","135","Escape odds survive без прямого контакта."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SURVIVE_CONTACT_AMBUSH","145","105","125","135","155","165","185","Ambush odds survive при прямом контакте."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SURVIVE_SAFE_AMBUSH","220","180","200","210","230","240","260","Ambush odds survive без прямого контакта."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SURVIVE_COMBAT","50","10","30","40","60","70","90","Combat odds survive."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SURVIVE_SUPPORT_ESCAPE","120","80","100","110","130","140","160","Доп. escape множитель support/heavy в survive."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_SURVIVE_ASSAULT_AMBUSH","115","75","95","105","125","135","155","Доп. ambush множитель assault в survive."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_RETREAT_ESCAPE","300","260","280","290","310","320","340","Множитель escape odds для retreat regroup."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_RETREAT_AMBUSH","75","35","55","65","85","95","115","Множитель ambush odds для retreat regroup."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_RETREAT_COMBAT","35","0","15","25","45","55","75","Множитель combat odds для retreat regroup."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_RETREAT_FRONT_AMBUSH","115","75","95","105","125","135","155","Доп. ambush множитель assault/melee в retreat regroup."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HUNT_ESCAPE","70","30","50","60","80","90","110","Множитель escape odds для hunt last enemy."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HUNT_VISIBLE_AMBUSH","120","80","100","110","130","140","160","Ambush odds hunt при видимом или последнем известном враге."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HUNT_HIDDEN_AMBUSH","160","158","159","161","162","163","165","Ambush odds hunt при скрытом последнем враге."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HUNT_VISIBLE_COMBAT","145","105","125","135","155","165","185","Combat odds hunt при видимом враге."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HUNT_HIDDEN_COMBAT","90","88","89","91","92","93","95","Combat odds hunt при скрытом враге."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HUNT_VISIBLE_PATROL","90","50","70","80","100","110","130","Patrol odds hunt при видимом враге."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HUNT_HIDDEN_PATROL","65","63","64","66","67","68","70","Patrol odds hunt при скрытом враге."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HUNT_FRONT_PRESSURE","115","75","95","105","125","135","155","Доп. patrol/combat множитель assault/melee в hunt."
"src\Battlescape\PlayerFactionAI.cpp","int","PLAYER_AI_ODDS_HUNT_FIRE_SUPPORT_PATROL","75","35","55","65","85","95","115","Доп. patrol множитель marksman/heavy в hunt."
